author,content,created_at,postLink
samanthabrennan.bsky.social,"The biggest difference between the women’s and men’s Olympic mountain bike race finishes? hugging

#olympics

fitisafeministissue.com/2024/07/31/t...",2024-07-31T10:05:46.181Z,https://bsky.app/profile/samanthabrennan.bsky.social/post/3kyl2yidn6j2e
bbcnews-uk-rss.bsky.social,Paris 2024 Olympics video: Tom Pidcock wins gold in dramatic mountain bike final,2024-07-29T23:55:21.569Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kyhig32btf2v
globalvoters.bsky.social,"Pure drama, brilliant commentary - watch Pidcock's incredible win: Watch the moment Tom Pidcock secures Team GB's second gold medal of the Paris 2024 Olympics in the men's mountain bike final,",2024-07-29T21:52:37.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyhbkmg52z22
globalvoters.bsky.social,Emotional Pidcock laughs off French 'boos' after mountain bike gold: Team GB's Tom Pidcock is emotional after recovering from a puncture to pull off a last-lap pass on the leader from France in the men's mountain bike final at the Paris 2024 Olympics.,2024-07-29T14:36:56.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kygj7jvthf2w
globalvoters.bsky.social,Emotional Pidcock laughs off French 'boos' after mountain bike gold: Team GB's Tom Pidcock is emotional after recovering from a puncture to pull off a last-lap pass on the leader from France in the men's mountain bike final at the Paris 2024 Olympics.,2024-07-29T14:32:07.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kygiwwkejv24
